year,month,day,avg_temperature,precipitation,dayofyear
2022,12,31,5.9,3.8,365
2022,12,30,7.8,12.7,364
2022,12,29,4.84,2.9,363
2022,12,28,5.8,3.8,362
2022,12,27,8.1,28.8,361
2022,12,26,9.5,18.2,360
2022,12,25,5.5,16.1,359
2022,12,24,4.05,28.2,358
2022,12,23,-3.0,11.9,357
2022,12,22,-10.15,0.0,356
2022,12,21,-9.94,0.2,355
2022,12,20,-7.6,24.2,354
2022,12,19,-7.15,4.0,353
2022,12,18,-1.6,8.8,352
2022,12,17,2.4,2.1,351
2022,12,16,1.04,0.0,350
2022,12,15,1.8,0.0,349
2022,12,14,2.45,0.0,348
2022,12,13,2.25,0.3,347
2022,12,12,3.3,0.0,346
2022,12,11,6.05,0.4,345
2022,12,10,5.9,11.3,344
2022,12,9,2.75,2.9,343
2022,12,8,3.8,4.5,342
2022,12,7,4.15,2.3,341
2022,12,6,1.65,0.4,340
2022,12,5,-2.0,0.0,339
2022,12,4,-0.89,0.0,338
2022,12,3,0.7,0.0,337
2022,12,2,-1.5,0.0,336
2022,12,1,-2.55,0.0,335
2022,11,30,1.2,1.2,334
2022,11,29,-1.5,10.0,333
2022,11,28,0.29,0.0,332
2022,11,27,5.55,0.0,331
2022,11,26,4.75,0.0,330
2022,11,25,7.15,12.4,329
2022,11,24,7.69,0.0,328
2022,11,23,6.6,0.0,327
2022,11,22,7.55,16.0,326
2022,11,21,6.0,0.5,325
2022,11,20,2.45,0.4,324
2022,11,19,0.79,0.0,323
2022,11,18,0.79,0.0,322
2022,11,17,5.0,0.0,321
2022,11,16,3.25,0.0,320
2022,11,15,2.75,0.0,319
2022,11,14,3.34,0.0,318
2022,11,13,4.3,0.0,317
2022,11,12,2.95,0.0,316
2022,11,11,4.64,0.0,315
2022,11,10,3.95,0.0,314
2022,11,9,0.79,0.0,313
2022,11,8,2.04,1.0,312
2022,11,7,2.5,2.2,311
2022,11,6,3.6,14.3,310
2022,11,5,5.65,0.0,309
2022,11,4,7.45,31.6,308
2022,11,3,4.0,24.2,307
2022,11,2,5.7,0.0,306
2022,11,1,5.95,0.0,305
2022,10,31,8.94,1.6,304
2022,10,30,10.9,25.2,303
2022,10,29,10.3,0.0,302
2022,10,28,11.14,2.1,301
2022,10,27,10.25,17.0,300
2022,10,26,7.44,4.3,299
2022,10,25,8.8,17.2,298
2022,10,24,10.35,13.0,297
2022,10,23,7.6,6.7,296
2022,10,22,9.05,0.2,295
2022,10,21,10.3,1.4,294
2022,10,20,13.15,0.0,293
2022,10,19,9.85,0.0,292
2022,10,18,11.8,0.0,291
2022,10,17,14.14,0.0,290
2022,10,16,13.1,0.0,289
2022,10,15,12.05,0.0,288
2022,10,14,12.35,0.0,287
2022,10,13,11.89,0.0,286
2022,10,12,10.95,0.0,285
2022,10,11,12.55,0.0,284
2022,10,10,14.3,0.0,283
2022,10,9,14.39,0.0,282
2022,10,8,14.25,0.0,281
2022,10,7,15.2,0.0,280
2022,10,6,14.0,0.0,279
2022,10,5,14.95,0.0,278
2022,10,4,15.35,0.0,277
2022,10,3,14.65,0.0,276
2022,10,2,14.75,0.0,275
2022,10,1,14.25,0.0,274
2022,9,30,14.5,0.0,273
2022,9,29,15.75,0.0,272
2022,9,28,16.75,0.2,271
2022,9,27,16.55,0.0,270
2022,9,26,15.8,0.0,269
2022,9,25,15.0,0.0,268
2022,9,24,15.75,0.0,267
